date,state,city,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-12-29,AM,São Sebastião do Uatumã,742,8,14020.0,5170.01115,0.0108
2020-12-29,AM,Tabatinga,2067,88,65844.0,3076.71698,0.0426
2020-12-29,AM,Tapauá,1333,10,17156.0,7834.263879999998,0.0075
2020-12-29,AM,Tefé,4968,105,59849.0,8342.98957,0.0211
2020-12-29,AM,Tonantins,716,21,18755.0,3788.96121,0.0293
2020-12-29,AM,Uarini,1083,14,13540.0,7910.883859999999,0.0129
2020-12-29,AM,Urucará,948,16,16256.0,5877.24737,0.0169
2020-12-29,AM,Urucurituba,1439,11,23065.0,6101.33559,0.0076
2020-12-29,DF,Brasília,219403,3887,3015268.0,7181.417340000001,0.0177
2020-12-29,DF,Importados/Indefinidos,31054,354,,,0.0114
2020-12-29,AL,Anadia,531,9,17545.0,3029.78432,0.0169
2020-12-29,AL,Arapiraca,13865,182,231747.0,5949.4436700000015,0.0131
2020-12-29,AL,Atalaia,655,25,47185.0,1382.87765,0.0382
2020-12-29,AL,Barra de Santo Antônio,144,15,15932.0,896.19119,0.1042
2020-12-29,AL,Barra de São Miguel,191,5,8322.0,2279.78038,0.0262
2020-12-29,AL,Batalha,644,11,18232.0,3511.83335,0.0171
2020-12-29,AL,Belo Monte,186,5,6704.0,2771.98212,0.0269
2020-12-29,AL,Belém,70,3,4344.0,1633.98693,0.0429
2020-12-29,AL,Boca da Mata,1267,25,27281.0,4631.5250799999985,0.0197
2020-12-29,AL,Branquinha,276,6,10494.0,2638.62333,0.0217
2020-12-29,AL,Cacimbinhas,331,3,10858.0,3039.7649,0.0091
2020-12-29,AL,Cajueiro,385,16,21264.0,1804.88491,0.0416
2020-12-29,AL,Campestre,100,3,6936.0,1438.0212800000004,0.03
2020-12-29,AL,Campo Alegre,1621,29,57063.0,2817.31755,0.0179
2020-12-29,AL,Campo Grande,239,7,9558.0,2498.1708,0.0293
2020-12-29,AL,Canapi,69,4,17722.0,389.4125,0.057999999999999996
2020-12-29,AL,Capela,563,7,17053.0,3315.86077,0.0124
